CODIGO,CANTON
1,24 DE MAYO
2,AGUARICO
3,ALAUSÍ
4,ALFREDO BAQUERIZO MORENO (JUJÁN)
5,AMBATO
6,ANTONIO ANTE
7,ARAJUNO
8,ARCHIDONA
9,ARENILLAS
10,ATACAMES
11,ATAHUALPA
12,AZOGUES
13,BABA
14,BABAHOYO
15,BALSAS
16,BALZAR
17,BAÑOS DE AGUA SANTA
18,BIBLIÁN
19,BOLÍVAR
20,CHILLANES
21,CHIMBO
22,CHINCHIPE
23,CHONE
24,CHORDELEG
25,CHUNCHI
26,COLIMES
27,COLTA
28,CORONEL MARCELINO MARIDUEÑA
29,COTACACHI
30,CUENCA
31,CUMANDÁ
32,CUYABENO
33,DAULE
34,DELEG
35,DURÁN
36,ECHEANDÍA
37,EL CARMEN
38,EL CHACO
39,EL EMPALME
40,EL GUABO
41,EL PAN
42,EL PANGUI
43,EL TAMBO
44,EL TRIUNFO
45,ELOY ALFARO
46,ESMERALDAS
47,ESPEJO
48,ESPÍNDOLA
49,FLAVIO ALFARO
50,FRANCISCO DE ORELLANA
51,GENERAL ANTONIO ELIZALDE (BUCAY)
52,GIRON
53,GONZALO PIZARRO
54,GONZANAMÁ
55,GUACHAPALA
56,GUALACEO
57,GUALAQUIZA
58,GUAMOTE
59,GUANO
60,GUARANDA
61,GUAYAQUIL
62,HUAMBOYA
63,HUAQUILLAS
64,IBARRA
65,ISABELA
66,ISIDRO AYORA
67,JAMA
68,JARAMIJÓ
69,JIPIJAPA
70,JUNÍN
71,LA CONCORDIA
72,LA JOYA DE LOS SACHAS
73,LA LIBERTAD
74,LA MANÁ
75,LA TRONCAL
76,LAGO AGRIO
77,LAS LAJAS
78,LAS NAVES
79,LATACUNGA
80,LIMÓN INDANZA
81,LOGROÑO
82,LOJA
83,MEJÍA
84,MERA
85,MILAGRO
86,MIRA
87,MOCACHE
88,MOCHA
89,MONTALVO
90,MONTECRISTI
91,MONTÚFAR
92,MORONA
93,MUISNE
94,NABON
95,NANGARITZA
96,NARANJAL
97,NARANJITO
98,NOBOL
99,OLMEDO
100,OTAVALO
101,OÑA
102,PABLO SEXTO
103,PAJÁN
104,PALTAS
105,PLAYAS
106,PORTOVELO
107,PORTOVIEJO
108,PUCARA
109,PUEBLOVIEJO
110,PUERTO LÓPEZ
111,PUERTO QUITO
112,PUJILÍ
113,PUTUMAYO
114,PUYANGO
115,QUERO
116,QUEVEDO
117,QUIJOS
118,QUILANGA
119,QUININDÉ
120,QUINSALOMA
121,QUITO
122,RIOBAMBA
123,RIOVERDE
124,ROCAFUERTE
125,RUMIÑAHUI
126,SALCEDO
127,SALINAS
128,SALITRE (URBINA JADO)
129,SAMBORONDÓN
130,SAN CRISTÓBAL
131,SAN FERNANDO
132,SAN JACINTO DE YAGUACHI
133,SAN JUAN BOSCO
134,SAN LORENZO
135,SAN MIGUEL
136,SAN MIGUEL DE LOS BANCOS
137,SAN MIGUEL DE URCUQUÍ
138,SAN PEDRO DE HUACA
139,SAN PEDRO DE PELILEO
140,SAN VICENTE
141,SANTA ANA
142,SANTA CLARA
143,SANTA CRUZ
144,SANTA ELENA
145,SANTA ISABEL
146,SANTA LUCÍA
147,SANTA ROSA
148,SANTIAGO
149,SANTIAGO DE PÍLLARO
150,SANTO DOMINGO
151,SAQUISILÍ
152,SARAGURO
153,SEVILLA DE ORO
154,SHUSHUFINDI
155,SIGCHOS
156,SIGSIG
157,SIMÓN BOLÍVAR
158,SOZORANGA
159,SUCRE
160,SUCUMBÍOS
161,SUCÚA
162,SUSCAL
163,TAISHA
164,TENA
165,TISALEO
166,TIWINTZA
167,TOSAGUA
168,TULCÁN
169,URDANETA
170,VALENCIA
171,VENTANAS
172,VINCES
173,YACUAMBÍ
174,YANTZAZA
175,ZAMORA
176,ZAPOTILLO
177,ZARUMA
