CANTON,EVENTO,CATEGORIA DEL EVENTO,CAUSA,MES,TOTAL DE PERSONAS AFECTADAS,TOTAL DE INFRAESTRUCTURA AFECTADA
24 DE MAYO,DESLIZAMIENTO,ÉPOCA LLUVIOSA,LLUVIAS,3,Rango 1,0
24 DE MAYO,INCENDIO FORESTAL,ÉPOCA LLUVIOSA,DESCONOCIDA,6,Rango 3,0
24 DE MAYO,INCENDIO FORESTAL,NATURAL,DESCONOCIDA,11,Rango 1,0
24 DE MAYO,INUNDACIÓN,NATURAL,LLUVIAS,12,Rango 1,1
24 DE MAYO,INUNDACIÓN,NATURAL,LLUVIAS,1,Rango 1,0
24 DE MAYO,INUNDACIÓN,ÉPOCA LLUVIOSA,LLUVIAS,2,Rango 3,29
24 DE MAYO,SISMO,ÉPOCA LLUVIOSA,FALLA GEOLÓGICA,4,Rango 3,126
24 DE MAYO,SISMO,NATURAL,FALLA GEOLÓGICA,4,Rango 3,30
24 DE MAYO,INCENDIO FORESTAL,ÉPOCA LLUVIOSA,DESCONOCIDA,11,Rango 1,0
24 DE MAYO,INCENDIO FORESTAL,ÉPOCA LLUVIOSA,DESCONOCIDA,10,Rango 1,0
24 DE MAYO,INCENDIO FORESTAL,ÉPOCA LLUVIOSA,DESCONOCIDA,12,Rango 1,0
24 DE MAYO,INUNDACIÓN,ÉPOCA LLUVIOSA,LLUVIAS,3,Rango 2,10
24 DE MAYO,DESLIZAMIENTO,ÉPOCA LLUVIOSA,LLUVIAS,4,Rango 1,0
24 DE MAYO,INCENDIO FORESTAL,NATURAL,DESCONOCIDA,9,Rango 1,0
24 DE MAYO,INCENDIO FORESTAL,NATURAL,DESCONOCIDA,12,Rango 1,0
24 DE MAYO,INUNDACIÓN,NATURAL,LLUVIAS,4,Rango 2,8
24 DE MAYO,INCENDIO FORESTAL,ÉPOCA LLUVIOSA,DESCONOCIDA,9,Rango 1,0
24 DE MAYO,VENDAVAL,NATURAL,CONDICIONES ATMOSFÉRICAS,10,Rango 1,1
24 DE MAYO,INUNDACIÓN,NATURAL,LLUVIAS,3,Rango 1,1
AGUARICO,INUNDACIÓN,NIÑA,LLUVIAS,1,Rango 3,0
AGUARICO,INUNDACIÓN,ÉPOCA LLUVIOSA,LLUVIAS,7,Rango 3,0
AGUARICO,INUNDACIÓN,ÉPOCA LLUVIOSA,LLUVIAS,6,Rango 3,0
AGUARICO,INUNDACIÓN,ÉPOCA LLUVIOSA,DESBORDAMIENTO,6,Rango 3,0
AGUARICO,INUNDACIÓN,NATURAL,DESBORDAMIENTO,6,Rango 2,0
AGUARICO,INUNDACIÓN,ÉPOCA LLUVIOSA,DESBORDAMIENTO,5,Rango 3,0
AGUARICO,INUNDACIÓN,NATURAL,DESBORDAMIENTO,7,Rango 2,0
AGUARICO,SOCAVAMIENTO,NATURAL,LLUVIAS,7,Rango 1,1
ALAUSÍ,DESLIZAMIENTO,NATURAL,LLUVIAS,4,Rango 2,1
ALAUSÍ,DESLIZAMIENTO,NATURAL,LLUVIAS,2,Rango 1,1
ALAUSÍ,INUNDACIÓN,NATURAL,LLUVIAS,4,Rango 2,3
ALAUSÍ,DESLIZAMIENTO,NATURAL,LLUVIAS,5,Rango 1,0
ALAUSÍ,DESLIZAMIENTO,ÉPOCA LLUVIOSA,LLUVIAS,7,Rango 1,0
ALAUSÍ,DESLIZAMIENTO,NATURAL,DESCONOCIDA,4,Rango 3,13
ALAUSÍ,DESLIZAMIENTO,NATURAL,DESCONOCIDA,6,Rango 1,0
ALAUSÍ,INCENDIO FORESTAL,NATURAL,DESCONOCIDA,8,Rango 1,0
ALAUSÍ,INCENDIO FORESTAL,NATURAL,DESCONOCIDA,9,Rango 1,0
ALAUSÍ,INCENDIO FORESTAL,NATURAL,DESCONOCIDA,10,Rango 1,0
ALAUSÍ,INCENDIO FORESTAL,NATURAL,DESCONOCIDA,11,Rango 1,0
ALAUSÍ,SOCAVAMIENTO,NATURAL,LLUVIAS,3,Rango 3,0
ALAUSÍ,DESLIZAMIENTO,ÉPOCA LLUVIOSA,LLUVIAS,4,Rango 3,1
ALAUSÍ,INCENDIO FORESTAL,ÉPOCA LLUVIOSA,DESCONOCIDA,8,Rango 1,0
ALAUSÍ,INCENDIO FORESTAL,ÉPOCA LLUVIOSA,DESCONOCIDA,10,Rango 1,0
ALAUSÍ,DESLIZAMIENTO,ÉPOCA LLUVIOSA,LLUVIAS,3,Rango 1,0
ALAUSÍ,INUNDACIÓN,ÉPOCA LLUVIOSA,LLUVIAS,5,Rango 2,4
ALAUSÍ,DESLIZAMIENTO,ÉPOCA LLUVIOSA,LLUVIAS,5,Rango 1,0
ALAUSÍ,DESLIZAMIENTO,ÉPOCA LLUVIOSA,LLUVIAS,6,Rango 1,0
ALAUSÍ,INCENDIO FORESTAL,ÉPOCA LLUVIOSA,DESCONOCIDA,6,Rango 1,0
ALAUSÍ,INCENDIO FORESTAL,ÉPOCA LLUVIOSA,DESCONOCIDA,7,Rango 1,0
ALAUSÍ,INCENDIO FORESTAL,ÉPOCA LLUVIOSA,DESCONOCIDA,9,Rango 1,0
ALAUSÍ,DESLIZAMIENTO,ÉPOCA LLUVIOSA,LLUVIAS,11,Rango 1,0
ALAUSÍ,INCENDIO FORESTAL,ÉPOCA LLUVIOSA,DESCONOCIDA,12,Rango 1,0
ALAUSÍ,DESLIZAMIENTO,NATURAL,DESCONOCIDA,1,Rango 1,0
ALAUSÍ,DESLIZAMIENTO,ÉPOCA LLUVIOSA,LLUVIAS,2,Rango 2,1
ALAUSÍ,DESLIZAMIENTO,NATURAL,DESCONOCIDA,2,Rango 1,0
ALAUSÍ,DESLIZAMIENTO,NATURAL,LLUVIAS,3,Rango 1,0
ALAUSÍ,DESLIZAMIENTO,NATURAL,LLUVIAS,6,Rango 1,0
ALAUSÍ,DESLIZAMIENTO,ÉPOCA LLUVIOSA,DESCONOCIDA,4,Rango 1,0
ALAUSÍ,DESLIZAMIENTO,ÉPOCA LLUVIOSA,DESCONOCIDA,5,Rango 1,0
ALAUSÍ,DESLIZAMIENTO,ÉPOCA LLUVIOSA,DESCONOCIDA,7,Rango 1,0
