CANTON,EVENTO,CATEGORIA DEL EVENTO,CAUSA,MES,TOTAL DE PERSONAS AFECTADAS,TOTAL DE INFRAESTRUCTURA AFECTADA
1,4,5,18,3,1,0
1,8,5,10,6,3,0
1,8,2,10,11,1,0
1,9,2,18,12,1,1
1,9,2,18,1,1,0
1,9,5,18,2,3,29
1,11,5,14,4,3,126
1,11,2,14,4,3,30
1,8,5,10,11,1,0
1,8,5,10,10,1,0
1,8,5,10,12,1,0
1,9,5,18,3,2,10
1,4,5,18,4,1,0
1,8,2,10,9,1,0
1,8,2,10,12,1,0
1,9,2,18,4,2,8
1,8,5,10,9,1,0
1,15,2,7,10,1,1
1,9,2,18,3,1,1
2,9,3,18,1,3,0
2,9,5,18,7,3,0
2,9,5,18,6,3,0
2,9,5,8,6,3,0
2,9,2,8,6,2,0
2,9,5,8,5,3,0
2,9,2,8,7,2,0
2,12,2,18,7,1,1
3,4,2,18,4,2,1
3,4,2,18,2,1,1
3,9,2,18,4,2,3
3,4,2,18,5,1,0
3,4,5,18,7,1,0
3,4,2,10,4,3,13
3,4,2,10,6,1,0
3,8,2,10,8,1,0
3,8,2,10,9,1,0
3,8,2,10,10,1,0
3,8,2,10,11,1,0
3,12,2,18,3,3,0
3,4,5,18,4,3,1
3,8,5,10,8,1,0
3,8,5,10,10,1,0
3,4,5,18,3,1,0
3,9,5,18,5,2,4
3,4,5,18,5,1,0
3,4,5,18,6,1,0
3,8,5,10,6,1,0
3,8,5,10,7,1,0
3,8,5,10,9,1,0
3,4,5,18,11,1,0
3,8,5,10,12,1,0
3,4,2,10,1,1,0
3,4,5,18,2,2,1
3,4,2,10,2,1,0
3,4,2,18,3,1,0
3,4,2,18,6,1,0
3,4,5,10,4,1,0
3,4,5,10,5,1,0
3,4,5,10,7,1,0
3,4,5,10,8,1,0
3,4,2,10,8,3,5
3,8,5,10,11,1,0
3,4,5,10,12,2,1
3,4,5,18,1,1,0
3,4,5,10,3,1,0
3,4,5,10,6,1,0
3,4,5,10,9,1,0
3,4,5,10,11,1,0
3,8,5,10,1,1,0
3,4,5,10,2,1,0
3,8,5,10,3,1,0
3,4,5,23,9,1,0
3,11,5,14,9,1,9
3,13,5,7,9,1,0
3,2,2,18,3,2,5
3,4,2,10,5,1,0
3,11,2,14,5,1,1
3,2,2,8,5,1,0
3,8,1,10,10,1,0
3,1,5,22,1,2,0
3,4,5,21,4,1,0
3,1,2,22,6,3,0
3,1,1,22,6,3,0
3,1,5,22,6,3,0
3,15,2,7,7,3,7
3,15,2,7,8,1,1
3,1,2,22,9,3,0
3,8,1,10,11,1,0
3,4,1,18,2,3,3
3,1,5,2,3,3,0
3,1,2,2,3,3,0
3,1,5,2,4,1,0
3,1,2,2,4,1,0
