CANTON,EVENTO,CATEGORIA DEL EVENTO,CAUSA,MES,TOTAL DE PERSONAS AFECTADAS,TOTAL DE INFRAESTRUCTURA AFECTADA
1,4,5,18,3,1,0
1,4,5,18,4,1,0
1,9,5,18,1,1,0
1,9,5,18,2,3,29
1,9,5,18,3,2,11
1,9,5,18,4,2,8
1,9,5,18,12,1,1
1,11,2,14,4,3,225
1,15,2,7,10,1,1
2,9,2,8,7,2,0
2,9,5,8,5,3,0
2,9,5,8,6,3,0
2,9,2,18,7,3,0
2,9,5,18,1,3,0
2,9,5,18,3,2,1
2,9,5,18,5,3,6
2,9,5,18,6,3,0
2,12,5,18,7,1,1
3,1,2,2,3,3,0
3,1,2,2,4,1,0
3,1,2,2,5,1,0
3,1,2,17,8,1,0
3,1,2,17,11,3,0
3,1,2,22,1,2,0
3,1,2,22,6,3,0
3,1,2,22,9,3,0
3,2,5,8,5,1,0
3,2,2,10,5,1,0
3,2,5,18,2,1,0
3,2,5,18,3,3,10
3,2,5,18,4,1,0
3,4,2,8,8,1,0
3,4,2,10,1,1,0
3,4,2,10,2,1,0
3,4,2,10,3,2,1
3,4,2,10,4,2,2
3,4,2,10,5,1,0
3,4,2,10,6,1,0
3,4,2,10,7,1,0
3,4,2,10,8,3,5
3,4,2,10,9,1,0
3,4,2,10,10,1,0
3,4,2,10,11,2,3
3,4,2,10,12,2,1
3,4,5,10,1,1,0
3,4,5,10,2,1,0
3,4,5,10,4,3,13
3,4,5,10,6,1,0
3,4,5,18,1,1,0
3,4,5,18,2,3,5
3,4,5,18,3,1,0
3,4,5,18,4,3,2
3,4,5,18,5,1,0
3,4,5,18,6,1,0
3,4,5,18,7,1,0
3,4,5,18,11,1,0
3,4,2,23,9,1,0
3,6,2,7,7,3,0
3,7,2,10,11,1,1
3,9,5,9,3,2,1
3,9,5,18,3,2,4
3,9,5,18,4,2,3
3,9,5,18,5,2,4
3,11,2,14,5,1,1
3,11,2,14,9,1,9
3,12,5,18,3,3,0
3,12,5,18,4,1,2
3,13,2,7,9,1,0
3,15,2,7,7,3,28
3,15,2,7,8,1,1
3,15,2,7,9,1,1
3,15,5,7,6,2,1
3,15,5,7,11,2,2
4,1,2,2,3,3,0
4,1,2,2,4,1,0
4,1,2,2,5,1,0
4,1,2,17,11,1,0
4,1,2,22,9,3,0
4,9,5,8,3,3,1082
4,9,5,8,5,3,100
4,9,5,18,1,1,1
4,9,5,18,2,3,2308
4,9,5,18,3,3,1252
4,9,5,18,4,3,254
4,9,5,18,5,1,2
4,9,5,18,12,2,6
4,11,2,1,7,1,2
4,11,2,14,4,3,9
4,15,5,7,2,2,7
4,15,5,18,3,3,42
4,15,2,27,6,2,3
5,1,2,22,2,1,0
5,1,2,22,7,1,0
5,1,2,22,11,1,0
5,1,2,22,12,3,0
5,2,2,8,11,1,0
5,2,5,8,10,2,2
5,2,2,10,5,1,0
5,2,2,18,12,1,0
5,2,5,18,1,1,0
5,2,5,18,2,3,7
5,2,5,18,3,1,0
5,2,5,18,4,1,0
5,2,5,18,6,1,1
5,2,5,18,7,1,1
5,2,5,18,8,1,0
5,2,5,18,11,1,1
5,2,5,18,12,1,0
5,4,2,8,10,1,1
5,4,5,8,4,1,0
5,4,5,8,7,1,0
5,4,2,10,1,1,0
5,4,2,10,2,1,0
5,4,2,10,3,1,0
5,4,2,10,4,1,1
5,4,2,10,5,1,1
5,4,2,10,6,1,0
5,4,2,10,7,3,10
5,4,2,10,8,1,1
5,4,2,10,9,1,2
5,4,2,10,10,1,2
5,4,2,10,11,1,1
5,4,2,10,12,1,0
5,4,5,10,8,1,0
5,4,5,10,10,1,0
5,4,2,12,12,1,0
5,4,5,12,8,1,0
5,4,2,13,7,1,0
5,4,2,15,8,1,0
5,4,2,18,8,1,0
5,4,2,18,9,1,0
5,4,2,18,10,1,0
5,4,2,18,11,1,0
5,4,5,18,1,1,0
5,4,5,18,2,2,3
5,4,5,18,3,3,14
5,4,5,18,4,2,3
5,4,5,18,5,2,2
5,4,5,18,6,1,1
5,4,5,18,7,2,0
5,4,5,18,8,1,0
5,4,5,18,9,1,3
5,4,5,18,10,1,1
5,4,5,18,11,2,3
5,4,5,18,12,2,3
5,4,2,21,5,1,0
5,4,2,21,9,1,0
5,4,5,21,5,3,3
5,5,2,7,7,3,0
5,5,2,7,9,1,0
5,5,5,7,1,3,0
5,5,5,7,3,3,0
5,5,5,7,4,3,0
5,5,5,7,11,3,1
5,6,2,7,2,2,0
5,6,2,7,7,3,0
5,6,2,7,8,3,0
5,6,2,7,9,3,0
5,6,5,7,1,3,0
5,7,2,8,3,1,1
5,7,2,10,3,1,0
5,7,2,10,5,1,0
5,7,2,10,6,1,0
5,7,2,10,7,1,0
5,7,2,10,9,1,1
5,7,2,10,10,1,0
5,7,2,18,7,1,0
5,7,2,18,11,1,0
5,7,5,18,1,1,0
5,7,5,18,2,1,0
5,7,5,18,3,1,0
5,7,5,18,4,1,0
5,7,5,18,5,1,0
5,7,5,18,6,1,0
5,7,5,18,11,1,0
5,9,2,8,7,1,0
5,9,2,8,9,1,1
5,9,2,8,12,2,4
5,9,5,8,3,1,2
5,9,5,8,4,1,1
5,9,5,8,10,2,3
5,9,5,8,11,1,1
5,9,5,9,7,3,3
5,9,2,10,9,2,1
5,9,2,10,10,2,2
5,9,2,18,7,3,3
5,9,2,18,9,3,2
5,9,2,18,11,2,1
5,9,5,18,1,3,1
5,9,5,18,2,3,10
5,9,5,18,3,3,26
5,9,5,18,4,3,13
5,9,5,18,5,1,10
5,9,5,18,6,1,1
5,9,5,18,7,3,2
5,9,5,18,10,3,15
5,9,5,18,11,1,4
5,9,5,18,12,1,1
5,11,2,14,4,2,1
5,11,2,14,5,1,1
5,11,2,14,6,3,31
5,11,2,14,9,1,2
5,12,2,10,1,1,0
5,12,2,10,4,1,0
5,12,2,10,7,1,0
5,12,2,10,11,1,0
5,12,5,18,2,1,0
5,12,5,18,5,1,1
5,12,5,18,6,1,1
5,12,5,18,7,1,0
5,12,5,18,11,1,1
5,13,2,7,3,2,1
5,13,5,7,2,1,0
5,15,2,7,7,2,3
5,15,2,7,8,1,1
5,15,2,7,10,2,1
5,15,5,7,1,2,3
5,15,5,7,3,1,1
6,2,5,18,5,1,0
6,4,2,10,8,1,0
6,4,5,18,3,1,0
6,4,5,18,5,1,0
6,4,5,18,8,1,0
6,9,5,8,4,2,1
6,9,5,8,5,2,1
6,9,2,18,9,1,3
6,9,2,18,11,2,2
6,9,5,18,3,1,1
6,9,5,18,4,2,18
6,9,5,18,5,3,57
6,9,5,18,10,1,1
6,11,2,14,4,2,3
6,11,2,14,5,1,2
6,12,5,18,5,1,1
6,15,5,7,9,2,1
7,4,2,10,2,1,0
7,4,2,10,3,1,0
7,4,2,10,9,1,0
7,4,5,18,1,1,0
7,4,5,18,2,1,0
7,4,5,18,3,1,0
7,4,5,18,4,1,1
7,4,5,18,5,1,0
7,4,5,18,6,1,0
7,4,5,18,7,1,0
7,4,5,18,8,1,0
7,4,5,18,9,1,0
7,4,5,18,10,1,0
7,4,5,18,11,1,0
7,4,5,18,12,1,0
7,7,5,18,4,1,0
7,7,5,18,5,1,0
7,9,5,8,1,3,0
7,9,5,8,4,3,8
7,9,5,8,9,3,0
7,9,2,18,8,3,1
7,9,5,18,1,2,3
7,9,5,18,3,3,0
7,9,5,18,4,3,205
7,9,5,18,5,3,10
7,9,5,18,6,3,0
7,9,5,18,7,1,0
7,9,5,18,10,3,27
7,9,5,18,11,3,127
7,9,5,18,12,2,7
7,12,2,10,8,1,0
7,12,5,18,4,1,0
7,12,5,18,5,1,0
7,12,5,18,6,1,0
7,15,2,7,8,2,10
7,15,2,7,9,2,2
7,15,5,7,2,2,2
7,15,5,7,4,2,1
8,2,2,18,9,1,0
8,4,2,10,3,1,0
8,4,2,10,11,1,0
8,4,5,10,9,1,0
8,4,2,18,7,1,1
8,4,2,18,8,1,0
8,4,2,18,9,1,0
8,4,2,18,10,1,0
8,4,2,18,12,1,0
8,4,5,18,1,1,1
8,4,5,18,2,3,11
8,4,5,18,3,2,1
8,4,5,18,4,3,1
8,4,5,18,5,3,4
8,4,5,18,6,3,3
8,4,5,18,7,1,0
8,4,5,18,8,1,0
8,4,5,18,9,1,0
8,4,5,18,10,1,5
8,4,5,18,11,1,0
8,4,5,18,12,2,3
8,7,5,18,3,3,9
8,7,5,18,4,1,0
8,9,2,8,9,1,2
8,9,5,8,4,2,0
8,9,2,18,9,2,1
8,9,5,18,1,1,2
8,9,5,18,2,3,17
8,9,5,18,3,2,3
8,9,5,18,5,2,3
8,9,5,18,10,2,3
8,9,5,18,12,2,6
8,12,2,18,8,1,0
8,12,5,18,4,1,0
8,15,2,7,7,1,0
8,15,2,7,8,2,4
8,15,2,7,9,2,2
8,15,5,7,3,2,2
8,15,5,7,4,2,5
8,15,5,7,8,2,2
8,15,5,7,9,2,3
8,15,5,7,10,2,55
8,15,5,7,11,1,0
8,15,5,7,12,3,13
8,15,5,27,8,2,1
9,4,5,18,3,2,1
9,8,6,10,1,1,0
9,8,6,10,7,1,0
9,8,6,10,8,1,0
9,8,6,10,9,1,0
9,8,6,10,11,1,0
9,8,6,10,12,1,0
9,9,5,18,1,3,14
9,9,5,18,2,3,40
9,9,5,18,3,3,108
9,9,5,18,5,2,4
